Student_ID,Student_No,Midterm_CS_Equivalent,Midterm_LAB_Equivalent,Midterm_MO_Equivalent,Midterm_Grade,Finalterm_CS_Equivalent,Finalterm_LAB_Equivalent,Finalterm_MO_Equivalent,Finalterm_Grade,Midterm_Weighted_Component,Finalterm_Weighted_Component,Final_Grade,Midterm_CS_Raw_Short_Film_Proposal,Midterm_LAB_Raw_Storyboard,Midterm_MO_Raw_Long_Quiz_50pts,Midterm_CS_Max,Midterm_LAB_Max,Midterm_MO_Max,Finalterm_PPR1_Raw_5pts,Finalterm_PPR2_Raw_5pts,Finalterm_PPR3_Raw_5pts,Finalterm_PPR4_Raw_5pts,Finalterm_PPR5_Raw_5pts,Finalterm_PPR_Max_Each,Remarks_Label
2387989857,2387989857,2,2,2,2,2,2,2,2,2,2,2,83,80,40.5,100,100,50,4.15,4,4,4.15,4,5,1
2309387674,2309387674,3,3.25,3.25,3.25,3,3.25,3,3,3.175,3.075,3,61,61,30.5,100,100,50,3,3.05,2.95,3,3.05,5,1
2352127454,2352127454,1.25,1.25,1.25,1.25,1.5,1.5,1.5,1.5,1.25,1.5,1.5,95,95,47,100,100,50,4.55,4.75,4.65,4.55,4.6,5,1
2274107917,2274107917,1.75,1.75,1.75,1.75,1.5,1.75,1.75,1.75,1.75,1.675,1.75,86,86,44.5,100,100,50,4.5,4.45,4.5,4.5,4.5,5,1
2347455779,2347455779,1.25,1.25,1.5,1.25,1.25,1.5,1.5,1.5,1.35,1.425,1.5,95,95,46.5,100,100,50,4.75,4.75,4.75,4.65,4.65,5,1
2398720018,2398720018,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,5,53,55,26.5,100,100,50,2.6,2.55,2.55,2.5,2.55,5,0
2295260071,2295260071,2.75,2.75,3,2.75,3,3,3,3,2.85,3,3,66,67,33.5,100,100,50,3.1,3.15,3.2,3.2,3.1,5,1
2391263101,2391263101,2.25,2.25,2.5,2.25,2.25,2.25,2.25,2.25,2.35,2.25,2.25,76,74,38,100,100,50,3.95,3.95,3.9,3.9,3.95,5,1
2310004973,2310004973,1,1,1,1,1,1,1,1,1,1,1,98,99,49.5,100,100,50,4.85,4.95,5,5,4.95,5,1
2240555028,2240555028,3.25,3,3.25,3.25,3.25,3.25,3.25,3.25,3.175,3.25,5,61,58,30,100,100,50,2.85,3,2.9,2.9,3.05,5,0
2323530539,2323530539,1,1,1,1,1,1,1,1,1,1,1,100,100,50,100,100,50,4.85,4.9,5,4.95,4.85,5,1
2273937969,2273937969,5,5,5,5,5,4,5,5,5,4.7,5,7,6,4.5,100,100,50,1.1,1.15,1.25,1.25,1.3,5,0
2295424535,2295424535,2,2,2,2,2,2,1.75,2,2,1.9,2,82,84,41,100,100,50,4.25,4.25,4.2,4.25,4.2,5,1
2352502819,2352502819,3,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.175,3.25,5,61,61,30.5,100,100,50,2.95,3,2.95,2.85,3,5,0
2375521727,2375521727,3,3,3,3,3,2.75,3,3,3,2.925,3,62,62,31.5,100,100,50,3.1,3.1,3.2,3.2,3.1,5,1
2284740385,2284740385,5,3.75,5,5,5,5,4,5,4.625,4.6,5,24,23,12.5,100,100,50,0.3,0.25,0.2,0.1,0.3,5,0
2317373051,2317373051,3.75,5,5,5,5,3.75,5,5,4.625,4.625,5,45,47,23.5,100,100,50,0.55,0.5,0.45,0.55,0.6,5,0
2291300781,2291300781,1.5,1.25,1.5,1.5,1.25,1.25,1.5,1.25,1.425,1.35,1.25,92,94,46,100,100,50,4.6,4.7,4.7,4.75,4.6,5,1
2279983262,2279983262,2.5,2.5,2.5,2.5,2.75,2.5,2.5,2.5,2.5,2.575,2.5,72,70,35.5,100,100,50,3.5,3.5,3.45,3.4,3.45,5,1
2259085309,2259085309,2.5,2.5,2.5,2.5,2.5,2.5,2.75,2.5,2.5,2.6,2.5,72,73,36,100,100,50,3.55,3.6,3.5,3.5,3.65,5,1
2355099191,2355099191,3.5,3.5,3.5,3.5,3.5,3.5,3.25,3.5,3.5,3.4,5,51,51,27,100,100,50,2.5,2.6,2.5,2.5,2.5,5,0
2367005412,2367005412,1,1,1,1,1,1,1,1,1,1,1,100,100,48.5,100,100,50,4.9,4.95,4.95,4.95,5,5,1
2386051654,2386051654,3.25,3.25,3.25,3.25,3,3.25,3,3,3.25,3.075,5,57,56,28,100,100,50,3.05,3,3,3.05,3,5,0
2353795352,2353795352,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,5,55,55,27,100,100,50,2.75,2.75,2.75,2.65,2.65,5,0
2355685122,2355685122,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,79,78,39,100,100,50,3.85,3.75,3.8,3.85,3.9,5,1
2323091401,2323091401,2.25,2.5,2.25,2.25,2.25,2.5,2.25,2.25,2.325,2.325,2.25,78,77,38.5,100,100,50,3.95,3.95,3.8,3.85,3.9,5,1
2233595067,2233595067,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,5,55,53,27,100,100,50,2.7,2.75,2.7,2.75,2.75,5,0
2303968087,2303968087,3,2.75,2.75,2.75,2.75,2.75,3,2.75,2.825,2.85,2.75,62,62,31,100,100,50,3.3,3.25,3.2,3.2,3.3,5,1
